pathway,from_region,to_region,from_country,to_country,max_flow,max_counter_flow,voltage,distance,source_1,source_2,assumptions,other_notes
TRNAFGXXCHNXI,AFGXX,CHNXI,AFG,CHN,0,0,-,-,https://iea.blob.core.windows.net/assets/b066e0be-9a3f-49ca-b932-38a1e81bda2a/Cross-BorderTradingforTajikistan_ARoadmap.pdf,https://www.chathamhouse.org/sites/default/files/CHHJ7132-Afghanistan-Regional-Engagement-RP-WEB.pdf,-,-
TRNAFGXXIRNXX,AFGXX,IRNXX,AFG,IRN,175,175,-,-,https://www.tehrantimes.com/news/468852/Iran-exporting-110MW-of-electricity-to-Afghanistan,https://www.chathamhouse.org/sites/default/files/CHHJ7132-Afghanistan-Regional-Engagement-RP-WEB.pdf,-,It's reported that as of 2022 trade potential between both countries is set at 175 MW.
TRNAFGXXPAKXX,AFGXX,PAKXX,AFG,PAK,0,0,-,-,https://iea.blob.core.windows.net/assets/b066e0be-9a3f-49ca-b932-38a1e81bda2a/Cross-BorderTradingforTajikistan_ARoadmap.pdf,https://www.chathamhouse.org/sites/default/files/CHHJ7132-Afghanistan-Regional-Engagement-RP-WEB.pdf,-,-
TRNAFGXXTJKXX,AFGXX,TJKXX,AFG,TJK,0,350,220;110,-,https://www.chathamhouse.org/sites/default/files/CHHJ7132-Afghanistan-Regional-Engagement-RP-WEB.pdf,https://www.brecorder.com/news/40272056,Existing capacity is set to be 300 + 50 MW of unilateral capacity for exports from TJK to PAK (Table 3 IEA report). ,-
TRNAFGXXTKMXX,AFGXX,TKMXX,AFG,TKM,0,400,-,-,https://iea.blob.core.windows.net/assets/b066e0be-9a3f-49ca-b932-38a1e81bda2a/Cross-BorderTradingforTajikistan_ARoadmap.pdf,https://www.chathamhouse.org/sites/default/files/CHHJ7132-Afghanistan-Regional-Engagement-RP-WEB.pdf,Currently a trade agreement of 400 MW for unilateral flow from Turkmenistan to Afghanistan is in place although the respective lines fulfilling this agreement are not always operational. We included these capacities as existing.,-
TRNAFGXXUZBXX,AFGXX,UZBXX,AFG,UZB,450,450,220,43.3,https://iea.blob.core.windows.net/assets/0d00581c-dc3c-466f-b0c8-97d25112a6e0/Uzbekistan2022.pdf,https://unece.org/sites/default/files/2023-11/EN_Energy%20Connectivity%20in%20Central%20Asia_V2.pdf,The UNECE report indicates two existing 220 kV lines between AFG and UZB with 449 MVA each yet other reports indicate a max trade of 450 MW hence we assume the latter.,-
TRNAGOXXCODXX,AGOXX,CODXX,AGO,COD,0,0,-,-,https://www.sapp.co.zw/interconnectors,-,-,-
TRNAGOXXCOGXX,AGOXX,COGXX,AGO,COG,0,0,-,-,https://openinframap.org/#3.68/-2.67/25.42,-,-,-
TRNAGOXXNAMXX,AGOXX,NAMXX,AGO,NAM,0,0,400,190,https://www.sapp.co.zw/interconnectors,https://globaltransmission.info/namibia-inaugurates-400-kv-kunene-omatando-line-project/,"For existing capacity, this is in reference to Obib– Oranjemond 400kV / 220kV, which was inaugurated in Oct 2023, however at present MW values cannot be publicly sourced hence only voltage and distance is added.",-
TRNAGOXXZMBXX,AGOXX,ZMBXX,AGO,ZMB,0,0,-,-,https://www.sapp.co.zw/interconnectors,-,-,-
TRNALBXXGRCXX,ALBXX,GRCXX,ALB,GRC,400,400,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNALBXXKOSXX,ALBXX,KOSXX,ALB,KOS,510,652,-,-,https://transparency.entsoe.eu/transmission-domain/physicalFlow/show,-,Assumption that max historical hourly flow between 2021-2023 is representative for directional transmission capacity.,This approach is used more often to derive capacities for lines outside the direct ENTSO-E zones. See e.g. http://www.diva-portal.org/smash/get/diva2:1476768/FULLTEXT01.pdf
