pathway,from_region,to_region,from_country,to_country,max_flow,max_counter_flow,voltage,distance,year_planned,source_1,source_2,assumptions,other_notes
TRNAFGXXCHNXI,AFGXX,CHNXI,AFG,CHN,0,0,-,-,-,https://www.reuters.com/world/asia-pacific/taliban-join-chinas-belt-road-forum-elevating-ties-2023-10-14/,-,-,Afghanistan had joined China's Belt and Road initiative which is supposed to elevate ties between both countries including Chinese invements in mining and oil extraction. As of yet no mentioning of plans for an electricity interconnector.
TRNAFGXXIRNXX,AFGXX,IRNXX,AFG,IRN,325,325,-,-,-,https://www.tehrantimes.com/news/468852/Iran-exporting-110MW-of-electricity-to-Afghanistan,-,It's reported that as of 2022 trade potential between both countries is set at 175 MW with plans existing to boost electricity exchange to a capacity of 500-600 MW. The planned capacities (no year mentioned) are therefore set at 500 MW (lower end estimate) minus the existing 175 MW  = 325 MW.,-
TRNAFGXXPAKXX,AFGXX,PAKXX,AFG,PAK,0,0,-,-,-,https://iea.blob.core.windows.net/assets/b066e0be-9a3f-49ca-b932-38a1e81bda2a/Cross-BorderTradingforTajikistan_ARoadmap.pdf,https://www.linkedin.com/pulse/electricity-trade-prospects-between-pakistan-farrukh-mahmood-mian/,"Following the specifics of the CASA-1000 project in the IEA report, the HVDC link from TJK to PAK will only transit through AFG (with transit charges) but not for power supply between TJK and AFG. New line is far in development, but finalization is stalled due to political unrest in Afghanistan hence for now we did not add any planned capacities. There's still interest in alternative projects between AFG and PAK (see Linkedin blog post) but no concrete plans found as of yet.",-
TRNAFGXXTJKXX,AFGXX,TJKXX,AFG,TJK,0,0,-,-,-,https://iea.blob.core.windows.net/assets/b066e0be-9a3f-49ca-b932-38a1e81bda2a/Cross-BorderTradingforTajikistan_ARoadmap.pdf,https://www.brecorder.com/news/40272056,"Following the specifics of the CASA-1000 project in the IEA report, the HVDC link from TJK to PAK will only transit through AFG (with transit charges) but not for power supply between TJK and AFG. New line is far in development, but finalization is stalled due to political unrest in Afghanistan hence for now we did not add any planned capacities. Existing capacity is set to be 300 + 50 MW of unilateral capacity for exports from TJK to PAK (Table 3 IEA report). ",-
TRNAFGXXTKMXX,AFGXX,TKMXX,AFG,TKM,1000,1000,500,-,-,https://pajhwok.com/2023/01/29/power-supply-project-from-turkmenistan-be-completed-soon/,-,-,Construction is underway for a 1000 MW 500 kV line between both countries.
TRNAFGXXUZBXX,AFGXX,UZBXX,AFG,UZB,0,0,-,-,-,https://eurasianet.org/uzbekistan-begins-building-power-line-to-afghanistan,https://akipress.com/news:707772:Turkmenistan_and_Afghanistan_consider_issues_of_electricity_import/,"New 500 kv transmission line (1000 MW, 260 km) is far in development, but finalization is stalled due to political unrest in Afghanistan hence for now we did not add any new planned capacities.",-
TRNAGOXXCODXX,AGOXX,CODXX,AGO,COD,600,600,400,260,-,https://www.sapp.co.zw/interconnectors,-,-,-
TRNAGOXXCOGXX,AGOXX,COGXX,AGO,COG,0,0,-,-,-,-,-,-,No information on new planned capacity found.
TRNAGOXXNAMXX,AGOXX,NAMXX,AGO,NAM,600,600,400,450,-,https://www.afdb.org/sites/default/files/documents/projects-and-operations/multinational_-_baynes_hydro-power_angola_and_namibia_400_kv_transmission_lines_project_-_project_information_memorandum.pdf,-,-,"This is in references to the 'ANNA' interconnector for planned capacity, for the evacuation of power from the proposed 600 MW Baynes Hydro Power Project on the Cunene (Kunene) River. (pg 8 - planned capacity source)."
TRNAGOXXZMBXX,AGOXX,ZMBXX,AGO,ZMB,0,0,-,-,-,https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjovePmzvqCAxXSVkEAHYVuDwYQFnoECA4QAQ&url=https%3A%2F%2Fwww.mozambiqueenergysummit.com%2Fmedia%2Flxccup1e%2F3-chrispin-kahogo.pptx&usg=AOvVaw3TZTk8MMKTPadesDWbgYog&opi=89978449,https://www.lusakatimes.com/2020/02/28/zesco-and-angolan-firm-sign/#,"For planned capacity, Power Utility firm Zesco and RNT of Angola have signed an MOU for the development of the Zambia-Angola grid interconnecting transmission lines. But no details regarding MW or Voltages as of yet so set to 0.",-
