Node,Country,Largest City,Population,Lat,Long
AFGXX,Afghanistan,Kabul,4273156,34.5253,69.1783
AGOXX,Angola,Luanda,9051000,-8.8383,13.2344
ALBXX,Albania,Tirana,418495,41.3289,19.8178
AREXX,United Arab Emirates,Dubai,3331420,25.2631,55.2972
ARGXX,Argentina,Buenos Aires,16710000,-34.5997,-58.3819
ARMXX,Armenia,Yerevan,1075800,40.1814,44.5144
AUSXX,Australia,Sydney,4840600,-33.8678,151.21
AUSNT,Australia,Darwin,136828,-12.4381,130.8411
AUSQL,Australia,Brisbane,2360241,-27.4678,153.0281
AUSSA,Australia,Adelaide,1295714,-34.9275,138.6
AUSSW,Australia,Sydney,4840600,-33.8678,151.21
AUSTA,Australia,Hobart,222356,-42.8806,147.325
AUSVI,Australia,Melbourne,222356,-37.8142,144.9631
AUSWA,Australia,Perth,2141834,-31.9559,115.8606
AUTXX,Austria,Vienna,1973403,48.2083,16.3725
AZEXX,Azerbaijan,Baku,2300500,40.3667,49.8352
BDIXX,Burundi,Bujumbura,1075000,-3.3833,29.3667
BELXX,Belgium,Brussels,1743000,50.8467,4.3525
BENXX,Benin,Cotonou,762000,6.3667,2.4333
BFAXX,Burkina Faso,Ouagadougou,2453496,12.3686,-1.5275
BGDXX,Bangladesh,Dhaka,18627000,23.7639,90.3889
BGRXX,Bulgaria,Sofia,1547779,42.7,23.33
BHRXX,Bahrain,Manama,436000,26.225,50.5775
BIHXX,Bosnia and Herzegovina,Sarajevo,419957,43.8564,18.4131
BLRXX,Belarus,Minsk,2009786,53.9,27.5667
BLZXX,Belize,Belize City,57169,17.4986,-88.1886
BOLXX,Bolivia,Santa Cruz,3151676,-17.7892,-63.1975
BRAXX,Brazil,Sao Paolo,23086000,-23.55,-46.6333
BRACN,Brazil,Belem,1499641,-1.4558,-48.5039
BRACW,Brazil,Brasilia,3039444,-15.7939,-47.8828
BRANE,Brazil,Salvador,2886698,-12.9747,-38.4767
BRANW,Brazil,Manaus,2219580,-3.1,-60.0167
BRASE,Brazil,Sao Paolo,23086000,-23.55,-46.6333
BRASO,Brazil,Curitiba,1879355,-25.4297,-49.2711
BRAWE,Brazil,Porto Velho,428527,-8.7619,-63.9039
BRNXX,Brunei,Bandar Seri Begawan,50000,4.8903,114.9422
BTNXX,Bhutan,Thimphu,104000,27.4722,89.6361
BWAXX,Botswana,Gaborone,231626,-24.6581,25.9122
CAFXX,Central African Republic,Bangui,889231,4.3733,18.5628
CANXX,Canada,Toronto,5429524,43.7417,-79.3733
CANAB,Canada,Calgary,1239220,51.05,-114.067
CANAR,Canada,Halifax,403131,44.6475,-63.5906
CANBC,Canada,Vancouver,2264823,49.25,-123.1
CANCE,Canada,Winnipeg,705244,49.8844,-97.1464
CANEA,Canada,Toronto,5429524,43.7417,-79.3733
CANMB,Canada,Winnipeg,705244,49.8844,-97.1464
CANNL,Canada,Saint John's,108860,47.4817,-52.7971
CANNO,Canada,Yellowknife,19569,62.4709,-114.405
CANON,Canada,Toronto,5429524,43.7417,-79.3733
CANQC,Canada,Montreal,3519595,45.5089,-73.5617
CANSK,Canada,Saskatoon,246376,52.1333,-106.683
CANWE,Canada,Vancouver,2264823,49.25,-123.1
CHEXX,Switzerland,Zurich,436332,47.3744,8.5411
CHLXX,Chile,Santiago,7171000,-33.4372,-70.6506
CHNXX,China,Guangzhou,26940000,23.13,113.26
CHNAN,China,Hefei,4216940,31.8639,117.2808
CHNBE,China,Beijing,18522000,39.904,116.4075
CHNCE,China,Wuhan,10251000,30.5872,114.2881
CHNCH,China,Chongqing,12135000,29.55,106.5069
CHNEA,China,Shanghai,24073000,31.1667,121.4667
CHNFU,China,Xiamen,3707090,24.4797,118.0819
CHNGA,China,Lanzhou,3067141,36.0617,103.8318
CHNGD,China,Guangzhou,26940000,23.13,113.26
CHNGU,China,Guiyang,3299724,26.5794,106.7078
CHNGX,China,Nanning,3837978,22.8192,108.315
CHNHA,China,Haikou,2873358,20.02,110.32
CHNHB,China,Shijiazhuang,4098243,38.0422,114.5086
CHNHE,China,Zhengzhou,5621593,34.7492,113.6605
CHNHJ,China,Harbin,3830000,45.75,126.6333
CHNHK,China,Hong Kong,7450000,22.3,114.2
CHNHN,China,Changsha,4766296,28.1987,112.9709
CHNHU,China,Wuhan,10251000,30.5872,114.2881
CHNJI,China,Changchun,4408154,43.9,125.2
CHNJS,China,Nanjing,8422000,32.0608,118.7789
CHNJX,China,Nanchang,3576547,28.6842,115.8872
CHNLI,China,Shenyang,7964000,41.8025,123.4281
CHNMA,China,Macau,568700,22.2006,113.5461
CHNNE,China,Shenyang,7964000,41.8025,123.4281
CHNNI,China,Yinchuan,1901793,38.4795,106.2254
CHNNM,China,Chifeng,4341245,42.2663,118.9223
CHNNO,China,Beijing,18522000,39.904,116.4075
CHNNW,China,Xi'an,12328000,34.2667,108.9
CHNQI,China,Xining,2467965,36.6239,101.7787
CHNSC,China,Chengdu,14645000,30.66,104.0633
CHNSD,China,Qingdao,5818255,36.1167,120.4
CHNSH,China,Shanghai,24073000,31.1667,121.4667
CHNSI,China,Xi'an,12328000,34.2667,108.9
CHNSO,China,Guangzhou,26940000,23.13,113.26
CHNSW,China,Chengdu,14645000,30.66,104.0633
CHNSX,China,Taiyuan,3875053,37.8733,112.5425
CHNTI,China,Lhasa,902500,29.6534,91.1719
CHNTJ,China,Tianjin,13552359,39.1467,117.2056
CHNXI,China,Urumqi,4335017,43.8225,87.6125
CHNYU,China,Kunming,4422686,25.0433,102.7061
CHNZH,China,Hangzhou,9523000,30.25,120.1675
CIVXX,Cote DIvoire,Abidjan,4980000,5.3167,-4.0333
CMRXX,Cameroon,Douala,5768400,4.05,9.7
CODXX,Congo (Kinshasa),Kinshasa,12836000,-4.325,15.3222
COGXX,Congo (Brazzaville),Brazzaville,1827000,-4.2694,15.2714
COLXX,Colombia,Bogota,7968095,4.7111,-74.0722
CRIXX,Costa Rica,San Jose,1543000,9.9325,-84.08
CUBXX,Cuba,Havana,2141652,23.1367,-82.3589
CYPXX,Cyprus,Nicosia,330000,35.1725,33.365
CZEXX,Czechia,Prague,1335084,50.0875,14.4214
DEUXX,Germany,Berlin,4473101,52.52,13.405
DJIXX,Djibouti,Djibouti,603900,11.5883,43.145
DNKXX,Denmark,Copenhagen,1366301,55.6761,12.5683
DOMXX,Dominican Republic,Santo Domingo,2581827,18.4764,-69.8933
DZAXX,Algeria,Algiers,3415811,36.7539,3.0589
ECUXX,Ecuador,Guayaquil,2723665,-2.19,-79.8875
EGYXX,Egypt,Cairo,20296000,30.0444,31.2358
ERIXX,Eritrea,Asmara,963000,15.3228,38.925
ESHXX,Western Sahara,Laayoune,217732,27.1536,-13.2033
ESPXX,Spain,Madrid,6211000,40.4169,-3.7033
ESTXX,Estonia,Talinn,438341,59.4372,24.7453
ETHXX,Ethiopia,Addis Ababa,3041002,9.03,38.74
FINXX,Finland,Helsinki,1268296,60.1708,24.9375
FRAXX,France,Paris,11060000,48.8567,2.3522
GABXX,Gabon,Libreville,797003,0.3903,9.4542
GBRXX,United Kingdom,London,11262000,51.5072,-0.1275
GEOXX,Georgia,Tbilisi,1118035,41.7225,44.7925
GHAXX,Ghana,Accra,2388000,5.55,-0.2
GINXX,Guinea,Conakry,1667864,9.5092,-13.7122
GMBXX,Gambia,Banjul,413397,13.4531,-16.5775
GNBXX,Guinea-Bissau,Bissau,492004,11.85,-15.5667
GNQXX,Equatorial Guinea,Bata,250770,1.865,9.77
GRCXX,Greece,Athens,3041131,37.9842,23.7281
GRLXX,Greenland,Nuuk,18326,60.27083225,-44.72083045
GTMXX,Guatemala,Guatemala City,2934841,14.6099,-90.5252
GUFXX,French Guiana,Cayenne,61550,4.933,-52.33
GUYXX,Guyana,Georgetown,200500,6.8058,-58.1508
HNDXX,Honduras,Tegucigalpa,1682725,14.1,-87.2167
HRVXX,Croatia,Zagreb,809268,45.8167,15.9833
HTIXX,Haiti,Port Au Prince,2773553,18.5333,-72.3333
HUNXX,Hungary,Budapest,2997958,47.4925,19.0514
IDNXX,Indonesia,Jakarta,33756000,-6.175,106.8275
IDNJW,Indonesia,Jakarta,33756000,-6.175,106.8275
IDNKA,Indonesia,Samarinda,753370,-0.5,117.1378
IDNML,Indonesia,Ambon,372249,-3.7,128.1667
IDNNU,Indonesia,Denpasar,1779122,-8.65,115.2167
IDNPP,Indonesia,Jayapura,413283,-2.533,140.717
IDNSL,Indonesia,Makassar,1338663,-5.1619,119.4362
IDNSM,Indonesia,Medan,3632000,3.5894,98.6739
INDXX,India,Delhi,32226000,28.61,77.23
INDEA,India,Kolkata,18502000,22.5675,88.37
INDNE,India,Guwahati,1116267,26.1722,91.7458
INDNO,India,Delhi,32226000,28.61,77.23
INDSO,India,Bangalore,15386000,12.9789,77.5917
INDWE,India,Mumbai,24973000,19.0761,72.8775
IRLXX,Ireland,Dublin,1173179,53.35,-6.2603
IRNXX,Iran,Tehran,14148000,35.6892,51.3889
IRQXX,Iraq,Baghdad,6183000,33.3153,44.3661
ISLXX,Iceland,Reykjavik,135688,64.1467,-21.94
ISRXX,Israel & Palestina,Tel Aviv-Yafo,1388400,32.08,34.78
ITAXX,Italy,Rome,2872800,41.8931,12.4828
JAMXX,Jamaica,Kingston,580000,17.9714,-76.7931
JORXX,Jordan,Amman,4007526,31.9497,35.9328
JPNXX,Japan,Tokyo,37732000,35.6897,139.6922
JPNCE,Japan,Osaka,15126000,34.6939,135.5022
JPNHO,Japan,Sapporo,1961690,43.0667,141.35
JPNKY,Japan,Fukuoka,2286000,33.5833,130.4
JPNOK,Japan,Naha,316048,26.2122,127.6792
JPNSH,Japan,Matsuyama,506743,33.8333,132.7667
JPNTO,Japan,Tokyo,37732000,35.6897,139.6922
KAZXX,Kazakhstan,Almaty,1916822,43.2775,76.8958
KENXX,Kenya,Nairobi,5545000,-1.2864,36.8172
KGZXX,Kyrgyzstan,Bishkek,1074075,42.8747,74.6122
KHMXX,Cambodia,Phnom Penh,2129371,11.5694,104.9211
